BAWA DOMAIN FILTER v3.1 REPORT
==========================================================================================
Total scanned        : 70,000
Duplicates removed   : 0
Invalid domains      : 38,273
Rejected (no keyword): 26,644
Rejected (low score) : 309
Premium selected     : 4,774

TOP QUALIFIED DOMAINS
------------------------------------------------------------------------------------------
RANK | SCORE | DOMAIN | RATING | TLD | CATEGORY | KEYWORDS
------------------------------------------------------------------------------------------
0001 | 132 | vet-agent.com | HOT | .com | AI | agent,vet
0002 | 131 | invhhomes.com | HOT | .com | Home | home,homes
0003 | 130 | glowup-ai.com | HOT | .com | AI | ai,glow
0004 | 128 | cloudshoply.com | HOT | .com | Ecommerce | cloud,shop
0005 | 127 | citechevents.com | HOT | .com | Business | event,events,tech
0006 | 126 | aoehomes.com | HOT | .com | Home | home,homes
0007 | 126 | bite-flow.com | HOT | .com | Food | bite,flow
0008 | 126 | ezyagents.ai | HOT | .ai | AI | agent,agents
0009 | 126 | media4agents.com | HOT | .com | AI | agent,agents,media
0010 | 126 | techbardshop.com | HOT | .com | Ecommerce | shop,tech
0011 | 125 | homesbylee.com | HOT | .com | Home | home,homes
0012 | 125 | purezenhomes.com | HOT | .com | Beauty | home,homes,pure
0013 | 123 | codetoys.ai | HOT | .ai | Kids | code,toys
0014 | 123 | planhomestudio.com | HOT | .com | Business | home,homes,studio
0015 | 122 | tun-ai.com | HOT | .com | AI | ai
0016 | 122 | wbt-ai.com | HOT | .com | AI | ai
0017 | 121 | gezagroup.com | HOT | .com | Business | agro,group
0018 | 121 | abcpetstore.com | HOT | .com | Ecommerce | pets,store
0019 | 121 | petsbuyshop.com | HOT | .com | Ecommerce | pets,shop
0020 | 121 | lifepetstore.com | HOT | .com | Ecommerce | pets,store
0021 | 121 | openfoodlabs.com | HOT | .com | Food | food,labs
0022 | 120 | bpmfintech.com | HOT | .com | Finance | fintech,tech
0023 | 120 | bhtownhomes.com | HOT | .com | Home | home,homes
0024 | 120 | indiaagents.com | HOT | .com | AI | agent,agents
0025 | 120 | livarohomes.com | HOT | .com | Home | home,homes
0026 | 120 | magnethomes.com | HOT | .com | Home | home,homes
0027 | 120 | tamarkhomes.com | HOT | .com | Home | home,homes
0028 | 120 | carehomesapp.com | HOT | .com | Home | home,homes
0029 | 120 | hallofagents.com | HOT | .com | AI | agent,agents
0030 | 120 | homeswithjae.com | HOT | .com | Home | home,homes
0031 | 120 | xpandiahomes.com | HOT | .com | Home | home,homes
0032 | 119 | redzretail.com | HOT | .com | Ecommerce | retail,tail
0033 | 119 | retailcrea.com | HOT | .com | Ecommerce | retail,tail
0034 | 119 | xzonestores.com | HOT | .com | Ecommerce | nest,store
